Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","174","Comoros","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","36806","E","Estimated value"
"QCL","Crops and livestock products","178","Congo","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","31272","E","Estimated value"
"QCL","Crops and livestock products","178","Congo","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","30347","E","Estimated value"
"QCL","Crops and livestock products","188","Costa Rica","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","170322","E","Estimated value"
"QCL","Crops and livestock products","188","Costa Rica","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","151685","E","Estimated value"
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","3139196","E","Estimated value"
"QCL","Crops and livestock products","384","Côte d'Ivoire","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","2817182","E","Estimated value"
"QCL","Crops and livestock products","191","Croatia","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","3513320","E","Estimated value"
"QCL","Crops and livestock products","191","Croatia","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","3746320","E","Estimated value"
"QCL","Crops and livestock products","192","Cuba","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","703097","E","Estimated value"
"QCL","Crops and livestock products","192","Cuba","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","525731","E","Estimated value"
"QCL","Crops and livestock products","196","Cyprus","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","61280","E","Estimated value"
"QCL","Crops and livestock products","196","Cyprus","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","75720","E","Estimated value"
"QCL","Crops and livestock products","203","Czechia","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","7646150","E","Estimated value"
"QCL","Crops and livestock products","203","Czechia","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","8126660","E","Estimated value"
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","5703884","E","Estimated value"
"QCL","Crops and livestock products","408","Democratic People's Republic of Korea","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","4662527","E","Estimated value"
"QCL","Crops and livestock products","180","Democratic Republic of the Congo","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","3579216","E","Estimated value"
"QCL","Crops and livestock products","180","Democratic Republic of the Congo","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","3551147","E","Estimated value"
"QCL","Crops and livestock products","208","Denmark","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","9517830","E","Estimated value"
"QCL","Crops and livestock products","208","Denmark","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","9467690","E","Estimated value"
"QCL","Crops and livestock products","262","Djibouti","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","17","E","Estimated value"
"QCL","Crops and livestock products","262","Djibouti","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","17","E","Estimated value"
"QCL","Crops and livestock products","212","Dominica","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","193","E","Estimated value"
"QCL","Crops and livestock products","212","Dominica","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","193","E","Estimated value"
"QCL","Crops and livestock products","214","Dominican Republic","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","970003","E","Estimated value"
"QCL","Crops and livestock products","214","Dominican Republic","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","993899","E","Estimated value"
"QCL","Crops and livestock products","218","Ecuador","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","2617067","E","Estimated value"
"QCL","Crops and livestock products","218","Ecuador","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","2689665","E","Estimated value"
"QCL","Crops and livestock products","818","Egypt","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","21913681","E","Estimated value"
"QCL","Crops and livestock products","818","Egypt","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","22320185","E","Estimated value"
"QCL","Crops and livestock products","222","El Salvador","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","921410","E","Estimated value"
"QCL","Crops and livestock products","222","El Salvador","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","1019000","E","Estimated value"
"QCL","Crops and livestock products","232","Eritrea","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","304597","E","Estimated value"
"QCL","Crops and livestock products","232","Eritrea","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","304905","E","Estimated value"
"QCL","Crops and livestock products","233","Estonia","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","1624580","E","Estimated value"
"QCL","Crops and livestock products","233","Estonia","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","1632790","E","Estimated value"
"QCL","Crops and livestock products","748","Eswatini","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","97707","E","Estimated value"
"QCL","Crops and livestock products","748","Eswatini","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","89715","E","Estimated value"
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","29672647","E","Estimated value"
"QCL","Crops and livestock products","231","Ethiopia","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","30248751","E","Estimated value"
"QCL","Crops and livestock products","242","Fiji","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","7172","E","Estimated value"
"QCL","Crops and livestock products","242","Fiji","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","9936","E","Estimated value"
"QCL","Crops and livestock products","246","Finland","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","4036110","E","Estimated value"
"QCL","Crops and livestock products","246","Finland","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","3415550","E","Estimated value"
"QCL","Crops and livestock products","250","France","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","70378890","E","Estimated value"
"QCL","Crops and livestock products","250","France","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","56849840","E","Estimated value"
"QCL","Crops and livestock products","266","Gabon","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","46314","E","Estimated value"
"QCL","Crops and livestock products","266","Gabon","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","46419","E","Estimated value"
"QCL","Crops and livestock products","270","Gambia","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","104778","E","Estimated value"
"QCL","Crops and livestock products","270","Gambia","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","173776","E","Estimated value"
"QCL","Crops and livestock products","268","Georgia","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","371431","E","Estimated value"
"QCL","Crops and livestock products","268","Georgia","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","412339","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","44302400","E","Estimated value"
"QCL","Crops and livestock products","276","Germany","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","43265100","E","Estimated value"
"QCL","Crops and livestock products","288","Ghana","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","4360040","E","Estimated value"
"QCL","Crops and livestock products","288","Ghana","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","4570041","E","Estimated value"
"QCL","Crops and livestock products","300","Greece","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","2944220","E","Estimated value"
"QCL","Crops and livestock products","300","Greece","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","3105370","E","Estimated value"
"QCL","Crops and livestock products","308","Grenada","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","383","E","Estimated value"
"QCL","Crops and livestock products","308","Grenada","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","381","E","Estimated value"
"QCL","Crops and livestock products","320","Guatemala","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","1957346","E","Estimated value"
"QCL","Crops and livestock products","320","Guatemala","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","1984853","E","Estimated value"
"QCL","Crops and livestock products","324","Guinea","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","4286357","E","Estimated value"
"QCL","Crops and livestock products","324","Guinea","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","4666854","E","Estimated value"
"QCL","Crops and livestock products","624","Guinea-Bissau","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","238628","E","Estimated value"
"QCL","Crops and livestock products","624","Guinea-Bissau","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","252629","E","Estimated value"
"QCL","Crops and livestock products","328","Guyana","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","686418","E","Estimated value"
"QCL","Crops and livestock products","328","Guyana","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","691539","E","Estimated value"
"QCL","Crops and livestock products","332","Haiti","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","389868","E","Estimated value"
"QCL","Crops and livestock products","332","Haiti","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","370000","E","Estimated value"
"QCL","Crops and livestock products","340","Honduras","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","667782","E","Estimated value"
"QCL","Crops and livestock products","340","Honduras","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","753676","E","Estimated value"
"QCL","Crops and livestock products","348","Hungary","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","15650010","E","Estimated value"
"QCL","Crops and livestock products","348","Hungary","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","15566640","E","Estimated value"
"QCL","Crops and livestock products","352","Iceland","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","7900","E","Estimated value"
"QCL","Crops and livestock products","352","Iceland","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","7287","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","324300640","E","Estimated value"
"QCL","Crops and livestock products","356","India","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","335035000","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","77190033","E","Estimated value"
"QCL","Crops and livestock products","360","Indonesia","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","77149202","E","Estimated value"
"QCL","Crops and livestock products","364","Iran (Islamic Republic of)","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","22555476","E","Estimated value"
"QCL","Crops and livestock products","364","Iran (Islamic Republic of)","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","22012721","E","Estimated value"
"QCL","Crops and livestock products","368","Iraq","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","6913550","E","Estimated value"
"QCL","Crops and livestock products","368","Iraq","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","8885242","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","2267990","E","Estimated value"
"QCL","Crops and livestock products","372","Ireland","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","1892640","E","Estimated value"
"QCL","Crops and livestock products","376","Israel","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","184118","E","Estimated value"
"QCL","Crops and livestock products","376","Israel","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","245755","E","Estimated value"
"QCL","Crops and livestock products","380","Italy","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","16363450","E","Estimated value"
"QCL","Crops and livestock products","380","Italy","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","16945440","E","Estimated value"
"QCL","Crops and livestock products","388","Jamaica","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","2059","E","Estimated value"
"QCL","Crops and livestock products","388","Jamaica","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","2018","E","Estimated value"
"QCL","Crops and livestock products","392","Japan","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","11830030","E","Estimated value"
"QCL","Crops and livestock products","392","Japan","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","10922778","E","Estimated value"
"QCL","Crops and livestock products","400","Jordan","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","114217","E","Estimated value"
"QCL","Crops and livestock products","400","Jordan","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","95201","E","Estimated value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","17497097","E","Estimated value"
"QCL","Crops and livestock products","398","Kazakhstan","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","20179388","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","4621302","E","Estimated value"
"QCL","Crops and livestock products","404","Kenya","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","4881292","E","Estimated value"
"QCL","Crops and livestock products","414","Kuwait","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","31382","E","Estimated value"
"QCL","Crops and livestock products","414","Kuwait","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","20688","E","Estimated value"
"QCL","Crops and livestock products","417","Kyrgyzstan","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","1823520","E","Estimated value"
"QCL","Crops and livestock products","417","Kyrgyzstan","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","1901476","E","Estimated value"
"QCL","Crops and livestock products","418","Lao People's Democratic Republic","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","4328125","E","Estimated value"
"QCL","Crops and livestock products","418","Lao People's Democratic Republic","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","4837336","E","Estimated value"
"QCL","Crops and livestock products","428","Latvia","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","3163200","E","Estimated value"
"QCL","Crops and livestock products","428","Latvia","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","3497100","E","Estimated value"
"QCL","Crops and livestock products","422","Lebanon","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","175491","E","Estimated value"
"QCL","Crops and livestock products","422","Lebanon","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","174469","E","Estimated value"
"QCL","Crops and livestock products","426","Lesotho","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","35279","E","Estimated value"
"QCL","Crops and livestock products","426","Lesotho","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","98821","E","Estimated value"
"QCL","Crops and livestock products","430","Liberia","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","269000","E","Estimated value"
"QCL","Crops and livestock products","430","Liberia","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","270000","E","Estimated value"
"QCL","Crops and livestock products","434","Libya","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","219380","E","Estimated value"
"QCL","Crops and livestock products","434","Libya","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","209411","E","Estimated value"
"QCL","Crops and livestock products","440","Lithuania","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","5207890","E","Estimated value"
"QCL","Crops and livestock products","440","Lithuania","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","6544720","E","Estimated value"
"QCL","Crops and livestock products","442","Luxembourg","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","163590","E","Estimated value"
"QCL","Crops and livestock products","442","Luxembourg","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","146230","E","Estimated value"
"QCL","Crops and livestock products","450","Madagascar","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","4456721","E","Estimated value"
"QCL","Crops and livestock products","450","Madagascar","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","4459253","E","Estimated value"
"QCL","Crops and livestock products","454","Malawi","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","3703148","E","Estimated value"
"QCL","Crops and livestock products","454","Malawi","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","4028212","E","Estimated value"
"QCL","Crops and livestock products","458","Malaysia","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","2413368","E","Estimated value"
"QCL","Crops and livestock products","458","Malaysia","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","2389843","E","Estimated value"
"QCL","Crops and livestock products","462","Maldives","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","201","E","Estimated value"
"QCL","Crops and livestock products","462","Maldives","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","200","E","Estimated value"
"QCL","Crops and livestock products","466","Mali","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","10451432","E","Estimated value"
"QCL","Crops and livestock products","466","Mali","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","10352054","E","Estimated value"
"QCL","Crops and livestock products","470","Malta","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","0","E","Estimated value"
"QCL","Crops and livestock products","470","Malta","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","0","E","Estimated value"
"QCL","Crops and livestock products","478","Mauritania","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","479831","E","Estimated value"
"QCL","Crops and livestock products","478","Mauritania","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","486125","E","Estimated value"
"QCL","Crops and livestock products","480","Mauritius","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","516","E","Estimated value"
"QCL","Crops and livestock products","480","Mauritius","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","769","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","36164102","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","36375198","E","Estimated value"
"QCL","Crops and livestock products","583","Micronesia (Federated States of)","5510","Production","F1717","Cereals, Total","2019","2019","tonnes","278","E","Estimated value"
"QCL","Crops and livestock products","583","Micronesia (Federated States of)","5510","Production","F1717","Cereals, Total","2020","2020","tonnes","278","E","Estimated value"
