Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"MK","Macro Indicators","132","Cabo Verde","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","1981.846171","X","Figure from international organizations",""
"MK","Macro Indicators","116","Cambodia","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","27097.96382","X","Figure from international organizations",""
"MK","Macro Indicators","120","Cameroon","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","39007.353482","X","Figure from international organizations",""
"MK","Macro Indicators","124","Canada","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","1741496.789532","X","Figure from international organizations",""
"MK","Macro Indicators","136","Cayman Islands","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","5935.555662","X","Figure from international organizations",""
"MK","Macro Indicators","140","Central African Republic","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","2219.195548","X","Figure from international organizations",""
"MK","Macro Indicators","148","Chad","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","11271.66391","X","Figure from international organizations",""
"MK","Macro Indicators","152","Chile","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","279385.478377","X","Figure from international organizations",""
"MK","Macro Indicators","159","China","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","14700827.670843","E","Estimated value",""
"MK","Macro Indicators","344","China, Hong Kong SAR","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","365708.202614","X","Figure from international organizations",""
"MK","Macro Indicators","446","China, Macao SAR","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","55153.910691","X","Figure from international organizations",""
"MK","Macro Indicators","156","China, mainland","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","14279965.557538","X","Figure from international organizations",""
"MK","Macro Indicators","170","Colombia","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","323429.885859","X","Figure from international organizations",""
"MK","Macro Indicators","174","Comoros","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","1192.559711","X","Figure from international organizations",""
"MK","Macro Indicators","178","Congo","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","12525.041407","X","Figure from international organizations",""
"MK","Macro Indicators","184","Cook Islands","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","356.795618","X","Figure from international organizations",""
"MK","Macro Indicators","188","Costa Rica","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","63951.114772","X","Figure from international organizations",""
"MK","Macro Indicators","384","Côte d'Ivoire","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","58539.606234","X","Figure from international organizations",""
"MK","Macro Indicators","191","Croatia","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","62246.204386","X","Figure from international organizations",""
"MK","Macro Indicators","192","Cuba","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","103428","X","Figure from international organizations",""
"MK","Macro Indicators","531","Curaçao","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","3101.807734","X","Figure from international organizations",""
"MK","Macro Indicators","196","Cyprus","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","25758.996523","X","Figure from international organizations",""
"MK","Macro Indicators","203","Czechia","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","252498.032247","X","Figure from international organizations",""
"MK","Macro Indicators","408","Democratic People's Republic of Korea","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","16331.452313","X","Figure from international organizations",""
"MK","Macro Indicators","180","Democratic Republic of the Congo","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","47319.630272","X","Figure from international organizations",""
"MK","Macro Indicators","208","Denmark","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","347561.349211","X","Figure from international organizations",""
"MK","Macro Indicators","262","Djibouti","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","3166.329057","X","Figure from international organizations",""
"MK","Macro Indicators","212","Dominica","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","611.537037","X","Figure from international organizations",""
"MK","Macro Indicators","214","Dominican Republic","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","88941.371981","X","Figure from international organizations",""
"MK","Macro Indicators","218","Ecuador","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","108108.009","X","Figure from international organizations",""
"MK","Macro Indicators","818","Egypt","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","317359.293188","X","Figure from international organizations",""
"MK","Macro Indicators","222","El Salvador","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","26896.661015","X","Figure from international organizations",""
"MK","Macro Indicators","226","Equatorial Guinea","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","11417.277643","X","Figure from international organizations",""
"MK","Macro Indicators","232","Eritrea","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","1981.857048","X","Figure from international organizations",""
"MK","Macro Indicators","233","Estonia","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","31045.591753","X","Figure from international organizations",""
"MK","Macro Indicators","748","Eswatini","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","4471.045112","X","Figure from international organizations",""
"MK","Macro Indicators","231","Ethiopia","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","92561.902026","X","Figure from international organizations",""
"MK","Macro Indicators","242","Fiji","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","5496.254429","X","Figure from international organizations",""
"MK","Macro Indicators","246","Finland","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","268782.47138","X","Figure from international organizations",""
"MK","Macro Indicators","250","France","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","2728870.246706","X","Figure from international organizations",""
"MK","Macro Indicators","258","French Polynesia","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","6166.118532","X","Figure from international organizations",""
"MK","Macro Indicators","266","Gabon","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","16874.40546","X","Figure from international organizations",""
"MK","Macro Indicators","270","Gambia","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","1805.852806","X","Figure from international organizations",""
"MK","Macro Indicators","268","Georgia","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","17476.97647","X","Figure from international organizations",""
"MK","Macro Indicators","276","Germany","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","3888326.788627","X","Figure from international organizations",""
"MK","Macro Indicators","288","Ghana","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","68353.477449","X","Figure from international organizations",""
"MK","Macro Indicators","300","Greece","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","205144.162906","X","Figure from international organizations",""
"MK","Macro Indicators","304","Greenland","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","2982.226435","X","Figure from international organizations",""
"MK","Macro Indicators","308","Grenada","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","1213.4854","X","Figure from international organizations",""
"MK","Macro Indicators","320","Guatemala","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","77020.031893","X","Figure from international organizations",""
"MK","Macro Indicators","324","Guinea","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","13513.809311","X","Figure from international organizations",""
"MK","Macro Indicators","624","Guinea-Bissau","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","1322.269762","X","Figure from international organizations",""
"MK","Macro Indicators","328","Guyana","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","5173.764988","X","Figure from international organizations",""
"MK","Macro Indicators","332","Haiti","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","14006.805987","X","Figure from international organizations",""
"MK","Macro Indicators","340","Honduras","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","25089.937109","X","Figure from international organizations",""
"MK","Macro Indicators","348","Hungary","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","163526.491433","X","Figure from international organizations",""
"MK","Macro Indicators","352","Iceland","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","24857.740445","X","Figure from international organizations",""
"MK","Macro Indicators","356","India","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","2889949.137794","X","Figure from international organizations",""
"MK","Macro Indicators","360","Indonesia","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","1119091.262196","X","Figure from international organizations",""
"MK","Macro Indicators","364","Iran (Islamic Republic of)","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","653592.818881","X","Figure from international organizations",""
"MK","Macro Indicators","368","Iraq","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","235097.208122","X","Figure from international organizations",""
"MK","Macro Indicators","372","Ireland","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","399122.063647","X","Figure from international organizations",""
"MK","Macro Indicators","376","Israel","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","397934.603686","X","Figure from international organizations",""
"MK","Macro Indicators","380","Italy","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","2009383.867307","X","Figure from international organizations",""
"MK","Macro Indicators","388","Jamaica","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","15830.762952","X","Figure from international organizations",""
"MK","Macro Indicators","392","Japan","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","5148781.948478","X","Figure from international organizations",""
"MK","Macro Indicators","400","Jordan","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","44502.816901","X","Figure from international organizations",""
"MK","Macro Indicators","398","Kazakhstan","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","181667.115805","X","Figure from international organizations",""
"MK","Macro Indicators","404","Kenya","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","100554.205721","X","Figure from international organizations",""
"MK","Macro Indicators","296","Kiribati","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","177.934614","X","Figure from international organizations",""
"MK","Macro Indicators","414","Kuwait","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","136191.632701","X","Figure from international organizations",""
"MK","Macro Indicators","417","Kyrgyzstan","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","8871.019823","X","Figure from international organizations",""
"MK","Macro Indicators","418","Lao People's Democratic Republic","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","18740.561512","X","Figure from international organizations",""
"MK","Macro Indicators","428","Latvia","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","34308.783825","X","Figure from international organizations",""
"MK","Macro Indicators","422","Lebanon","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","53556.297821","X","Figure from international organizations",""
"MK","Macro Indicators","426","Lesotho","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","2453.706774","X","Figure from international organizations",""
"MK","Macro Indicators","430","Liberia","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","2582.242493","X","Figure from international organizations",""
"MK","Macro Indicators","434","Libya","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","59830.238583","X","Figure from international organizations",""
"MK","Macro Indicators","438","Liechtenstein","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","6684.164863","X","Figure from international organizations",""
"MK","Macro Indicators","440","Lithuania","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","54697.379017","X","Figure from international organizations",""
"MK","Macro Indicators","442","Luxembourg","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","70195.715496","X","Figure from international organizations",""
"MK","Macro Indicators","450","Madagascar","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","14104.664678","X","Figure from international organizations",""
"MK","Macro Indicators","454","Malawi","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","11146.123699","X","Figure from international organizations",""
"MK","Macro Indicators","458","Malaysia","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","364684.031843","X","Figure from international organizations",""
"MK","Macro Indicators","462","Maldives","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","5607.747339","X","Figure from international organizations",""
"MK","Macro Indicators","466","Mali","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","17281.795532","X","Figure from international organizations",""
"MK","Macro Indicators","470","Malta","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","15725.930124","X","Figure from international organizations",""
"MK","Macro Indicators","584","Marshall Islands","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","239.64151","X","Figure from international organizations",""
"MK","Macro Indicators","478","Mauritania","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","7889.655285","X","Figure from international organizations",""
"MK","Macro Indicators","480","Mauritius","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","14045.808217","X","Figure from international organizations",""
"MK","Macro Indicators","484","Mexico","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","1268868.331537","X","Figure from international organizations",""
"MK","Macro Indicators","583","Micronesia (Federated States of)","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","408.0606","X","Figure from international organizations",""
"MK","Macro Indicators","492","Monaco","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","7383.941919","X","Figure from international organizations",""
"MK","Macro Indicators","496","Mongolia","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","13996.719189","X","Figure from international organizations",""
"MK","Macro Indicators","499","Montenegro","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","5542.182456","X","Figure from international organizations",""
"MK","Macro Indicators","500","Montserrat","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","65.52963","X","Figure from international organizations",""
"MK","Macro Indicators","504","Morocco","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","119870.737017","X","Figure from international organizations",""
"MK","Macro Indicators","508","Mozambique","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","15390.031041","X","Figure from international organizations",""
"MK","Macro Indicators","104","Myanmar","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","74278.687002","X","Figure from international organizations",""
"MK","Macro Indicators","516","Namibia","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","12565.519202","X","Figure from international organizations",""
"MK","Macro Indicators","520","Nauru","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","132.846561","X","Figure from international organizations",""
"MK","Macro Indicators","524","Nepal","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","34268.254394","X","Figure from international organizations",""
"MK","Macro Indicators","528","Netherlands","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","910194.347569","X","Figure from international organizations",""
"MK","Macro Indicators","540","New Caledonia","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","9438.127994","X","Figure from international organizations",""
"MK","Macro Indicators","554","New Zealand","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","213434.571358","X","Figure from international organizations",""
"MK","Macro Indicators","558","Nicaragua","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","12611.205562","X","Figure from international organizations",""
"MK","Macro Indicators","562","Niger","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","12916.460168","X","Figure from international organizations",""
"MK","Macro Indicators","566","Nigeria","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","474516.650002","X","Figure from international organizations",""
"MK","Macro Indicators","807","North Macedonia","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","12547.045163","X","Figure from international organizations",""
"MK","Macro Indicators","578","Norway","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","405510","X","Figure from international organizations",""
"MK","Macro Indicators","512","Oman","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","76331.518668","X","Figure from international organizations",""
"MK","Macro Indicators","586","Pakistan","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","253087.564027","X","Figure from international organizations",""
"MK","Macro Indicators","585","Palau","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","280.429406","X","Figure from international organizations",""
"MK","Macro Indicators","275","Palestine","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","17133.5","X","Figure from international organizations",""
"MK","Macro Indicators","591","Panama","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","66787.866841","X","Figure from international organizations",""
"MK","Macro Indicators","598","Papua New Guinea","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","24828.833504","X","Figure from international organizations",""
"MK","Macro Indicators","600","Paraguay","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","37906.944206","X","Figure from international organizations",""
"MK","Macro Indicators","604","Peru","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","228473.278308","X","Figure from international organizations",""
"MK","Macro Indicators","608","Philippines","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","376823.404772","X","Figure from international organizations",""
"MK","Macro Indicators","616","Poland","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","597284.45385","X","Figure from international organizations",""
"MK","Macro Indicators","620","Portugal","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","239986.922639","X","Figure from international organizations",""
"MK","Macro Indicators","630","Puerto Rico","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","104914.6","X","Figure from international organizations",""
"MK","Macro Indicators","634","Qatar","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","175837.550996","X","Figure from international organizations",""
"MK","Macro Indicators","410","Republic of Korea","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","1651222.574475","X","Figure from international organizations",""
"MK","Macro Indicators","498","Republic of Moldova","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","11971.34502","X","Figure from international organizations",""
"MK","Macro Indicators","642","Romania","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","249880.118218","X","Figure from international organizations",""
"MK","Macro Indicators","643","Russian Federation","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","1687449.693108","X","Figure from international organizations",""
"MK","Macro Indicators","646","Rwanda","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","10357.474541","X","Figure from international organizations",""
"MK","Macro Indicators","659","Saint Kitts and Nevis","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","1044.711111","X","Figure from international organizations",""
"MK","Macro Indicators","662","Saint Lucia","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","2118.792593","X","Figure from international organizations",""
"MK","Macro Indicators","670","Saint Vincent and the Grenadines","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","824.718519","X","Figure from international organizations",""
"MK","Macro Indicators","882","Samoa","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","847.239532","X","Figure from international organizations",""
"MK","Macro Indicators","674","San Marino","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","1616.23166","X","Figure from international organizations",""
"MK","Macro Indicators","678","Sao Tome and Principe","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","430.633136","X","Figure from international organizations",""
"MK","Macro Indicators","682","Saudi Arabia","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","792966.83819","X","Figure from international organizations",""
"MK","Macro Indicators","686","Senegal","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","23306.213218","X","Figure from international organizations",""
"MK","Macro Indicators","688","Serbia","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","51514.242776","X","Figure from international organizations",""
"MK","Macro Indicators","690","Seychelles","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","1582.869257","X","Figure from international organizations",""
"MK","Macro Indicators","694","Sierra Leone","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","4121.733685","X","Figure from international organizations",""
"MK","Macro Indicators","702","Singapore","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","374397.742198","X","Figure from international organizations",""
"MK","Macro Indicators","534","Sint Maarten (Dutch part)","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","1083.839582","X","Figure from international organizations",""
"MK","Macro Indicators","703","Slovakia","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","105284.375641","X","Figure from international organizations",""
"MK","Macro Indicators","705","Slovenia","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","54178.877606","X","Figure from international organizations",""
"MK","Macro Indicators","090","Solomon Islands","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","1570.155017","X","Figure from international organizations",""
"MK","Macro Indicators","706","Somalia","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","1831.616155","X","Figure from international organizations",""
"MK","Macro Indicators","710","South Africa","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","351430.991183","X","Figure from international organizations",""
"MK","Macro Indicators","728","South Sudan","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","16442.376643","X","Figure from international organizations",""
"MK","Macro Indicators","724","Spain","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","1393046.093137","X","Figure from international organizations",""
"MK","Macro Indicators","144","Sri Lanka","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","83990.932868","X","Figure from international organizations",""
"MK","Macro Indicators","729","Sudan","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","34895.36208","X","Figure from international organizations",""
"MK","Macro Indicators","740","Suriname","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","3977.099088","X","Figure from international organizations",""
"MK","Macro Indicators","752","Sweden","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","533879.529188","X","Figure from international organizations",""
"MK","Macro Indicators","756","Switzerland","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","731718.481696","X","Figure from international organizations",""
"MK","Macro Indicators","760","Syrian Arab Republic","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","26596.715331","X","Figure from international organizations",""
"MK","Macro Indicators","762","Tajikistan","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","8300.81389","X","Figure from international organizations",""
"MK","Macro Indicators","764","Thailand","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","544263.738706","X","Figure from international organizations",""
"MK","Macro Indicators","626","Timor-Leste","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","2047.931733","X","Figure from international organizations",""
"MK","Macro Indicators","768","Togo","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","6894.331919","X","Figure from international organizations",""
"MK","Macro Indicators","776","Tonga","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","508.414737","X","Figure from international organizations",""
"MK","Macro Indicators","780","Trinidad and Tobago","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","23886.519296","X","Figure from international organizations",""
"MK","Macro Indicators","788","Tunisia","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","39195.271092","X","Figure from international organizations",""
"MK","Macro Indicators","792","Türkiye","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","761001.835674","X","Figure from international organizations",""
"MK","Macro Indicators","795","Turkmenistan","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","43460.686357","X","Figure from international organizations",""
"MK","Macro Indicators","796","Turks and Caicos Islands","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","1197.415","X","Figure from international organizations",""
"MK","Macro Indicators","798","Tuvalu","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","54.179854","X","Figure from international organizations",""
"MK","Macro Indicators","800","Uganda","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","37718.356702","X","Figure from international organizations",""
"MK","Macro Indicators","804","Ukraine","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","153929.552493","X","Figure from international organizations",""
"MK","Macro Indicators","784","United Arab Emirates","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","417215.559513","X","Figure from international organizations",""
